Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-16,8.523659626772861,8.523659626772861,8.504220962524414,8.504220962524414,684700,0.0,0
2004-08-17,8.431326607193476,8.455624007106977,8.334135153766686,8.426466941833496,295900,0.0,0
2004-08-18,8.382730725635211,8.402169386716057,8.261241874539047,8.314697265625,121300,0.0,0
2004-08-19,8.309838036191598,8.455624294398682,8.304978370666504,8.304978370666504,64700,0.0,0
2004-08-20,8.304978651556004,8.5042203103914,8.304978651556004,8.4556245803833,131700,0.0,0
2004-08-23,8.479919605708364,8.504216997804797,8.382728183550443,8.465340614318848,30700,0.0,0
2004-08-24,8.499359612868421,8.650005523407104,8.499359612868421,8.56253433227539,99800,0.0,0
2004-08-25,8.562536340432317,8.562536340432317,8.5042212724483,8.528518676757812,13500,0.0,0
2004-08-26,8.55281791441684,8.611132061694672,8.504222173760875,8.509081840515137,75700,0.0,0
2004-08-27,8.407032692629294,8.54796028137207,8.407032692629294,8.54796028137207,38100,0.0,0
2004-08-30,8.577113219868378,8.601411547686487,8.494500759059678,8.523658752441406,73100,0.0,0
2004-08-31,8.479921076779505,8.650004704732318,8.465342082860868,8.601409912109375,77500,0.0,0
2004-09-01,8.674304008483887,8.698601407541966,8.567393228101073,8.674304008483887,94500,0.0,0
2004-09-02,8.650006510388756,8.790934033694903,8.650006510388756,8.708321571350098,98600,0.0,0
2004-09-03,8.727758490387107,8.795792876290154,8.698601426078008,8.747197151184082,29900,0.0,0
2004-09-07,8.74719772351703,8.844389180088454,8.698601995231316,8.776354789733887,106300,0.0,0
2004-09-08,8.82009111244734,8.82009111244734,8.722900579897948,8.781214714050293,135100,0.0,0
2004-09-09,8.77635721199838,8.795795879432283,8.659727988054993,8.786076545715332,410300,0.0,0
2004-09-10,8.756921856865656,8.912427531150433,8.722905106476727,8.868691444396973,71100,0.0,0
2004-09-13,8.60627037533155,8.91728248641341,8.60627037533155,8.8881254196167,151400,0.0,0
2004-09-14,8.771494586757438,8.94157916189256,8.771494586757438,8.892983436584473,61900,0.0,0
2004-09-15,8.800653901801123,8.8686873713337,8.698602770615752,8.8638277053833,58200,0.0,0
2004-09-16,8.868686377321366,8.961018166257288,8.756916853648956,8.917282104492188,82700,0.0,0
2004-09-17,8.941583376616554,8.951302711636773,8.902706963422487,8.936723709106445,42400,0.0,0
2004-09-20,8.956161686852859,9.126246329012236,8.868689532205936,9.087369918823242,100500,0.0,0
2004-09-21,9.111661278913834,9.135958671569824,8.99017246186165,9.135958671569824,136800,0.0,0
2004-09-22,8.990179237926341,9.145684892658853,8.990179237926341,9.121387481689453,51500,0.0,0
2004-09-23,9.063071886969652,9.257453944430843,9.03877447736954,9.11166763305664,90000,0.0,0
2004-09-24,9.111665209084316,9.203997009397929,9.038772072788944,9.101945877075195,106700,0.0,0
2004-09-27,9.038770657843534,9.08736638339536,8.941579206739886,8.965877532958984,384300,0.0,0
2004-09-28,8.965883226531439,9.038776397705076,8.961023558201603,9.038776397705078,159900,0.0,0
2004-09-29,9.08736638339536,9.111663782728085,8.907562476919521,8.965877532958984,354700,0.0,0
2004-09-30,8.990174867700807,9.063067992061649,8.771494567731917,9.019331932067871,473100,0.0,0
2004-10-01,9.048490040986305,9.18455696105957,8.990174984607496,9.18455696105957,78800,0.0,0
2004-10-04,9.184555716601896,9.267168161261285,9.184555716601896,9.23315143585205,136200,0.0,0
2004-10-05,9.242876309644021,9.247735977172852,9.17970155865603,9.247735977172852,81700,0.0,0
2004-10-06,9.247732364131869,9.393518625491629,9.247732364131869,9.378939628601074,53100,0.0,0
2004-10-07,9.451831619020938,9.500426410922055,9.208853951970386,9.34006118774414,81100,0.0,0
2004-10-08,9.330341586326291,9.524723509606813,9.330341586326291,9.461548805236816,81200,0.0,0
2004-10-11,9.461553702737614,9.461553702737614,9.28175067821557,9.427536964416504,61200,0.0,0
2004-10-12,9.427536532777776,9.58304214477539,9.364362725486204,9.58304214477539,63600,0.0,0
2004-10-13,9.583041521733534,9.597620519492917,9.490710649916945,9.534446716308594,95000,0.0,0
2004-10-14,9.500429669606705,9.534447333246417,9.476132265322041,9.510149002075195,94600,0.0,0
2004-10-15,9.510145966278273,9.573320680270472,9.500426636912355,9.524724960327148,79900,0.0,0
2004-10-18,9.573320680270472,9.617056735530838,9.524724960327148,9.524724960327148,23300,0.0,0
2004-10-19,9.563605308532715,9.573324641920705,9.51986923517341,9.563605308532715,26200,0.0,0
2004-10-20,9.563606118437397,9.670516014099121,9.47613396431111,9.670516014099121,36800,0.0,0
2004-10-21,9.709390189915995,9.709390189915995,9.510148518868158,9.573323249816895,28400,0.0,0
